Trace,IPC,Load Misses
srv769,0.367584,3829
srv634
srv557
srv271,0.3684,3780
srv555,0.503218,10299
srv89,0.349553,14009
srv674,0.368582,3823
srv127,0.508856,10596
srv776,0.497517,60972
srv600,0.351556,13935
srv517,0.350198,33435
srv70,0.392255,5098
srv81,0.347771,36003
srv303,0.347926,640
srv415,0.389343,4590
srv143,0.606916,44943
srv298,0.438827,156199
srv212,0.368852,3852
srv225,0.404796,226645
srv361,0.347569,32177
srv447,0.346209,696
srv253,0.352265,13746
srv114,0.350373,28257
srv326,0.432207,170967
srv609,0.432197,167440
srv457,0.345796,41115
srv123,0.390595,4372
srv269,0.346302,714
srv329,0.349822,771
srv687,0.367524,3996
srv574,0.394604,5190
srv227,0.350958,15381
srv160,0.528844,57074
srv778,0.502733,10392
srv588,0.348572,13668
srv381,0.349364,13477
srv680,0.508784,10731
srv603,0.368471,4243
srv484,0.502139,10365
srv411,0.348388,659
srv393,0.431967,175379
srv397,0.49819,10678
srv733,0.388347,4696
srv493,0.348429,14120
srv398,0.392929,5166
srv288,0.507052,10553
srv544,0.355092,614
srv23,0.35307,13800
srv442,0.39883,229708
srv116,0.392737,6203
srv552,0.393439,20613
srv395,0.389812,4907
srv159,0.348824,13822
srv439,0.366823,4052
srv419,0.605446,45058
srv85,0.391093,247440
srv375,0.346367,26415
srv711,0.349007,656
srv302
srv35,0.356588,13664
srv61,0.405284,227561
srv357,0.349685,14304
srv529,0.44338,966
srv17,0.368623,4543
srv210,0.442836,1703
srv526,0.406446,190672
srv239,0.392131,5618
srv612,0.314863,238019
srv124,0.350173,15674
srv580,0.347833,13796
srv716,0.350885,25369
srv414,0.36789,4081
srv315,0.500537,10491
srv784,0.38915,5364
srv405,0.384024,43926
srv747,0.367809,4315
srv87,0.348259,26680
srv222,0.401628,223741
srv644,0.349678,13395
srv240,0.392651,4901
srv645,0.502587,10442
srv4,0.352759,25542
srv785,0.368437,3708
srv450,0.348571,14207
srv474,0.390592,4214
srv643,0.347726,25728
srv107,0.391593,4980
srv374,0.423374,15155
srv389,0.369231,3959
srv685,0.592611,1120
srv351,0.38958,4389
srv295,0.345532,27924
srv146,0.348572,727
srv696,0.36901,3745
srv76,0.443507,5429
srv330,0.35128,13890
srv431,0.348664,27634
srv259,0.399082,229718
srv242,0.39405,19188
srv636,0.428054,5984
srv67,0.370149,3816
srv186,0.347688,34743
srv554,0.368178,4284
srv220,0.351994,14310
srv360,0.348125,600
srv523,0.350726,736
srv650,0.39198,23825
srv333,0.395871,15854
srv700,0.350817,25930
srv142,0.349878,13922
srv695,0.393866,5065
srv744,0.347774,39419
srv417,0.356858,15359
srv378,0.349748,13091
srv622,0.389205,4623
srv506,0.430561,165727
srv26,0.39136,5126
srv392,0.370154,4063
srv762,0.608071,44621
srv316,0.35268,666
srv537,0.393522,233234
srv386
srv321,0.350878,13894
srv553,0.369557,3699
srv777,0.351815,13768
srv659,0.353945,13798
srv498,0.351917,571
srv756,0.430416,14840
srv187,0.438584,9466
srv152,0.392346,4940
srv591,0.351418,11543
srv728,0.347473,27587
srv654,0.502914,10618
srv692,0.605189,45253
srv594,0.390359,4728
srv221,0.390852,5654
srv491,0.390159,4211
srv6,0.351154,732
srv52,0.346927,32128
srv228,0.431979,167856
srv455,0.438,11772
srv376,0.605951,44893
srv366,0.511749,70750
srv261,0.348895,25173
srv461,0.500364,61242
srv409,0.350425,15250
srv592,0.352125,608
srv486,0.424048,148677
srv672,0.349517,619
srv346,0.438897,157637
srv209,0.351409,12914
srv407,0.348434,599
srv410,0.394199,4878
srv144,0.357268,13449
srv404,0.352187,14236
srv540,0.391929,243393
srv565,0.390405,4169
srv341,0.352138,14002
srv115,0.368304,3976
srv633,0.366602,4511
srv243,0.355252,13831
srv546,0.349863,14682
srv327,0.347591,30906
srv91,0.348892,27555
srv604,0.389501,4328
srv714,0.368532,3903
srv676,0.393514,18921
srv194,0.381125,202477
srv783
srv631,0.370323,4236
srv485,0.348015,703
srv300,0.429946,14090
srv129,0.347127,674
srv469,0.349108,14222
srv86,0.504586,10728
srv589,0.352573,26423
srv72,0.525686,57876
srv514,0.369137,3870
srv32,0.403067,227039
srv387,0.391598,5194
srv501,0.60568,45260
srv561,0.349584,688
srv750,0.350031,727
srv385,0.367267,3758
srv704,0.424517,153496
srv525,0.346824,29205
srv44,0.43216,164965
srv758,0.350676,27303
srv64,0.393098,21687
srv211,0.350373,24986
srv51,0.503642,10473
srv182,0.350409,25219
srv437,0.348697,24027
srv149,0.366066,4164
srv37,0.349034,766
srv170,0.36791,3896
srv703,0.349087,646
srv388,0.369987,4021
srv215,0.394969,17017
srv400,0.352145,26097
srv98,0.350902,15031
srv496,0.387832,4270
srv164,0.506733,10479
srv19,0.367634,4456
srv279,0.394389,20606
srv79,0.389637,5217
srv499,0.433118,167171
srv291,0.390782,4726
srv214,0.438504,5139
srv165,0.393867,5844
srv176,0.390443,4938
srv14,0.350588,27512
srv294,0.389898,5530
srv495,0.400735,232400
srv566,0.439617,158140
srv655,0.347561,26509
srv684,0.366723,3795
srv434,0.351307,12772
srv535,0.350216,38463
srv510,0.508002,10754
srv444,0.51055,10484
srv241,0.389051,4802
srv230,0.350013,34237
srv547,0.346917,24992
srv504,0.401156,218724
srv615,0.368627,3583
srv505,0.347423,659
srv520,0.603648,45299
srv49,0.347205,632
srv39,0.345922,31444
srv9,0.604846,45021
srv155,0.370657,81309
srv597,0.350207,666
srv593,0.615889,1867
srv344,0.369025,3684
srv527,0.425831,182988
srv751,0.348464,27064
srv96,0.348528,27246
srv158,0.348652,26646
srv181,0.390839,5286
srv735,0.38941,4684
srv226,0.351786,690
srv128,0.39928,201903
srv425,0.436936,166948
srv234,0.426483,13519
srv639,0.349365,25319
srv665,0.35061,26355
srv671,0.393618,20828
srv60,0.346246,728
srv332,0.350248,25062
srv199,0.392022,4734
srv314,0.393834,20196
srv299,0.388559,5441
srv524,0.418316,14787
srv318,0.34947,24764
srv193,0.366451,4015
srv353,0.350713,710
srv616,0.605555,45380
srv519,0.38512,4275
srv88,0.50544,10908
srv466,0.347192,28118
srv653,0.347987,28077
srv760,0.429886,169490
srv646,0.390989,4825
srv21,0.39152,221615
srv641,0.404343,226607
srv47,0.391554,5576
srv328,0.359698,13281
srv267
srv611,0.34868,712
srv161,0.391629,5244
srv59,0.353786,14632
srv627,0.347095,28601
srv647,0.348783,13770
srv428,0.369444,3739
srv383,0.367822,3691
srv342,0.388455,5859
srv265,0.348443,24734
srv141,0.606768,44990
srv78,0.393087,20694
srv635,0.604205,45491
srv249,0.506008,10623
srv534,0.351484,14446
srv549,0.443213,1382
srv22,0.349128,740
srv154,0.526292,0
srv656,0.348827,28277
srv105,0.43592,158855
srv117,0.34903,593
srv584,0.390458,4867
srv418,0.395022,4831
srv596,0.437296,161147
srv606,0.434202,167112
srv719,0.349195,38152
srv754,0.41981,15244
srv285,0.348867,25346
srv739,0.506905,10469
srv48,0.398789,221818
srv202,0.348157,28300
srv260,0.34639,696
srv363,0.350077,677
srv53,0.350601,13942
srv198,0.606694,45066
srv275,0.437626,718
srv471,0.392607,5016
srv233,0.603121,45521
srv356,0.392347,5180
srv481,0.352075,13010
srv274,0.36868,3997
srv476,0.349336,685
srv761,0.346931,660
srv682,0.349748,13986
srv509,0.520456,58493
srv126,0.394981,4555
srv134,0.350383,13476
srv205,0.670178,0
srv172,0.393673,20511
srv108
srv257,0.434364,161890
srv65,0.60479,45100
srv532,0.348726,697
srv477,0.506141,10857
srv715,0.386885,223183
srv683,0.349391,659
srv708,0.349647,13421
srv262,0.392841,21441
srv568,0.392384,5195
srv705,0.509719,10831
srv701,0.3916,4513
srv424,0.390395,4055
srv542,0.352347,13471
srv483,0.431088,162679
srv174,0.394821,18835
srv362,0.392618,5384
srv440,0.393937,19019
srv94,0.446271,1965
srv36,0.350077,13698
srv390,0.439917,152187
srv697,0.437631,157235
srv179,0.500077,10741
srv688,0.430892,920
srv614,0.346041,28813
srv33,0.350155,788
srv57,0.348069,687
srv229,0.343419,662
srv58,0.377941,57327
srv602,0.509359,61994
srv132,0.522927,60573
srv175,0.605147,45380
srv730,0.347308,23602
srv324,0.390003,4855
srv664,0.432343,167727
srv266,0.362059,12802
srv166,0.349546,681
srv120,0.436288,157717
srv27,0.368213,3967
srv408,0.389465,211269
srv757,0.415378,158301
srv669,0.387503,214384
srv308,0.523504,0
srv441,0.603577,45238
srv725,0.368586,4505
srv180,0.438565,157848
srv740,0.346878,39973
srv662,0.43106,166840
srv538,0.603703,45407
srv475,0.393928,20033
srv401,0.432022,172289
srv667,0.349075,756
srv73,0.393777,200227
srv689,0.391756,5258
srv2,0.537146,36
srv338,0.655805,1113
srv488,0.348793,27792
srv304,0.353003,34039
srv365,0.350159,13769
srv709,0.348883,677
srv629,0.35123,628
srv571,0.623055,934
srv468,0.439881,159391
srv456,0.393772,20574
srv345,0.369858,3928
srv749,0.393439,5247
srv620,0.348881,14332
srv246,0.349448,601
srv31,0.349839,14760
srv738,0.393416,18054
srv145,0.348017,687
srv413,0.433273,140743
srv268,0.50841,10603
srv480,0.350867,14385
srv248,0.369006,3763
srv570,0.504756,10651
srv503,0.389598,4319
srv63,0.351706,566
srv427,0.348362,25718
srv207,0.382228,259921
srv531,0.367765,3785
srv727,0.400417,230679
srv494,0.352305,12843
srv637,0.383561,44378
srv223,0.350283,615
srv270,0.345837,34278
srv319,0.359674,13032
srv255,0.405328,225095
srv459,0.43249,170953
srv153,0.35073,630
srv367,0.349965,14609
srv779,0.351196,13522
srv445,0.367227,3825
srv394,0.394607,19505
srv168,0.351422,14094
srv772,0.350037,640
srv292,0.368135,4429
srv657,0.370552,3890
srv679,0.350141,641
srv101,0.348503,25371
srv729,0.367521,4061
srv640,0.36899,4156
srv104,0.505027,10706
srv699,0.352576,14973
srv454,0.34529,610
srv352,0.651984,1576
srv190,0.367324,4253
srv103,0.60396,45131
srv479,0.389303,4377
srv670,0.387024,5943
srv320
srv632,0.440437,6845
srv768,0.429597,163963
srv736,0.668952,285
srv420,0.439826,158458
srv765,0.390419,4219
srv583,0.525619,0
srv62,0.392125,4979
srv710,0.604614,45032
srv621,0.347406,623
srv372,0.349592,14576
srv734,0.351468,741
srv109,0.37184,4250
srv118,0.349284,689
srv759,0.351146,14735
srv347,0.368663,3796
srv460,0.388374,5995
srv236,0.348232,631
srv513,0.450296,3431
srv323,0.604993,44998
srv337,0.351856,678
srv449,0.347099,26038
srv231,0.370561,3851
srv465,0.508869,10662
srv690,0.350001,736
srv691,0.35271,652
srv185,0.350938,13119
srv100,0.605452,45030
srv368,0.352168,737
srv162,0.437838,158368
srv467,0.599022,160
srv77,0.369767,4040
srv712,0.349659,13429
srv577,0.349118,25119
srv28,0.348667,14478
srv384,0.348711,673
srv720,0.605962,45074
srv781,0.393067,4337
srv97,0.420746,13841
srv191,0.390752,5158
srv29,0.393422,5809
srv472,0.36914,3728
srv458,0.368535,3991
srv673,0.434249,14288
srv581,0.430094,1377
srv137,0.523895,60365
srv16,0.440985,158262
srv83,0.348193,13144
srv707,0.389853,5966
srv284,0.393262,5511
srv280,0.393161,5046
srv448,0.443895,740
srv102,0.368926,3640
srv254,0.348264,748
srv541,0.348119,32242
srv133,0.433179,164526
srv590,0.389155,4427
srv150,0.347084,25979
srv358,0.432649,163058
srv522,0.370156,4559
srv192,0.367267,3783
srv661,0.353763,14286
srv490,0.394478,17928
srv642,0.430472,171946
srv364,0.401424,219058
srv391,0.345905,38525
srv197,0.368813,3872
srv195,0.60716,44885
srv770,0.39309,4375
srv135,0.347633,33080
srv755,0.432928,1762
srv660,0.369843,3851
srv539,0.348387,26339
srv443,0.348662,34104
srv500,0.350078,14080
srv626,0.442005,154115
srv156,0.350365,13890
srv75,0.393723,4924
srv10,0.394315,19523
srv379,0.391096,4368
srv148,0.358443,12287
srv423,0.369135,4406
srv528,0.605077,44958
srv217,0.502492,10330
srv663
